name|line
Lumpy Space Princess| Ugh.  Reduced to marking my camp with bear sweat. Those bears did not want to give up that sweat,  but it keeps the rodents from nibbling my lumps while I sleep. Ouch! I feel something crunchy! Like fried chicken!  Oh, it is fried chicken!
Lumpy Space Princess| Oh, my Glob—forest creature! I'd better eat it real fast!
Lumpy Space Princess|  Get back here!     Aah!  What my life has become!
Lumpy Space Princess| Hello? Oh, my Glob!
Tree Trunks| Oh, wonderful!  Welcome in, LSP. Uh, I want to go through—
Lumpy Space Princess| This place is so clean and nice!
Tree Trunks| You're so kind.
Lumpy Space Princess| Do you have a sink?!
Tree Trunks| Uh, there's one in the kitchen, and—
Lumpy Space Princess| I'll use the one in the kitchen!  
Tree Trunks| I need to tell you all the s—
Lumpy Space Princess| Get me a towel!
Lumpy Space Princess| Help me down!
Tree Trunks|  O-okay, I-I really do need to tell you how to care for Sweet P. Uh, there's a proper procedure for Sweet P's special tuck-in time. You have to be real sweet to him. Pat him gently on the head, kiss his cheeks...
Lumpy Space Princess| What?
Tree Trunks|" ...And give him treats. Sing to him real, real soft and sweet and touch your forehead to his and think the words, ""You are more precious than anything in this world, and I will always, always love you."" Then he'll fall asleep and have sweet dreams."
Lumpy Space Princess| Oh, my Glob, I'll do all that! Okay, bye! Have a wonderful time!  Time to get down to the chill-out!
Lumpy Space Princess| What a princess like me deserves.  Aah! Don't hurt me!
Sweet P| I'm Sweet P.
Lumpy Space Princess| I didn't know you were huge.
Sweet P| I'm hungry.
Lumpy Space Princess| Okay, let's check what's in the fridge.  Do you like pizza?
Sweet P| I like pizza.
Lumpy Space Princess|   Get the pizza, Sweet P!
Lumpy Space Princess|  Now I can kick back.   Refrigerators are just great! I never stopped to think how great they are.     Now I'm cold, though.  Oh, what?!  I'm still cold.   Rich-person indoor fire is just so great.  I'm feeling all toasty! Must be time for toast!  I'm waiting... Waiting... Waiting... All done!   It's not black and crunchy like when I throw bread into my campfire.
Lumpy Space Princess| This music's way better than owls' hoots.
Lumpy Space Princess|  I deserve this.
Lumpy Space Princess| No! You're an animal! You can't come inside!  
Sweet P|  I'm ready to be tucked in now. Hello? Will you be sweet to me?
Sweet P|  Sweetness must be out there in the night to guide my sleepy boat right. 
Marceline| Yo!
Lumpy Space Princess| Hey, Marcy!
Marceline| LSPita bread, what's up? 
Lumpy Space Princess| Just chillin' in my awesome bubble bath!
Marceline| Did you break into someone's house again?
Lumpy Space Princess| Ugh! I have a new life now and a career.
Marceline| I didn't know you had any skills.
Lumpy Space Princess|" Success isn't about skills. It's about being cool. These people just randomly approached me, like, ""Hey, we will totally pay you to hang out in our sick mansion and feed our baby"" or whatever."
Marceline| Well, good for you, dude.
Lumpy Space Princess| I mean, I feel like a totally new person now that I'm finally getting what I deserve.
Lumpy Space Princess| Oh, my Glob, what is that?!
Lumpy Space Princess| Aah! 
Marceline| LSP? Mm.
Raccoon|  
Lumpy Space Princess|   Take this, you dandruff! 
Raccoon| LSP.
Lumpy Space Princess| Huh?
Raccoon| You don't belong here in the world of decent people. You belong in the woods with...  garbage animals!
Lumpy Space Princess| Noooooooo!
Sweet P| Will you be sweet to me?
Sweet P| Will you kiss my cheeks?
Sweet P|  Will you give me treats?
Sweet P|  Blech! 
Sweet P| Will you be sweet to me?
Banana Guards| Wee-Ooo! Wee-Ooo! Wee-Ooo! Wee-Ooo!
Lumpy Space Princess| Agh!    
Raccoon| Look what you've done, LSP.
Lumpy Space Princess| Huh?
Raccoon| You made it gross. Everything you touch turns gross!
Lumpy Space Princess| Uh...
Raccoon| Just like you!
Lumpy Space Princess| Aah!
Raccoon|  You don't really think you deserved any of this, do you? You're a rat, just a giant rat that wandered into somebody's nice house.
Lumpy Space Princess| I'm a good person! I take care of babies!  Look! Baby Sweet P?   Baby Sweet P! Oh, my Glob, I lost the baby! I lost the baby!  I'm a bad person!
Raccoon|  Just accept that you're garbage!
Lumpy Space Princess| Hi-yah!  Baby Sweet P! 
Lumpy Space Princess| Have you seen a big, fat child around here?!  Have you seen my enormous baby?!  If only I'd cooked the pizza!
Lumpy Space Princess| I could've eaten some, too! I'm so stupid!  You got to help me! I lost some old couple's baby 'cause I didn't do the sweet things! I just wanted a bubble bath, and... How did I lose something so bi-i-i-i-g?! 
Banana Guard| Ma'am, you're gonna have to come with us.
Lumpy Space Princess| Baby Sweet P!  Give me that donut! 
Banana Guard| No!
Lumpy Space Princess| I'm not a bad person! I'm not a bad person!
